project_name,author,github_url,github_stars,github_forks,tashan_score,practicality_score,sustainability_score,popularity_score,tools_available_tashan,lobehub_url,lobehub_description,lobehub_rating,tools_available,project_type,deployment_methods,api_requirements,use_cases,hidden_gem_score,recommendation_type
Cursor IDE 的 PubNub 模型上下文协议（MCP）服务器,pubnub,https://github.com/pubnub/pubnub-mcp-server,7,3,77.74,87.5,69,57.18,11,https://lobehub.com/mcp/pubnub-pubnub-mcp-server,一个基于命令行界面（CLI）的 MCP 服务器，向基于大语言模型（LLM）的工具提供 PubNub SDK 文档和 API 资源。支持通过环境变量 PUBNUB_PUBLISH_KEY 和 PUBNUB_SUBSCRIBE_KEY 进行身份验证。可选支持通过 HTTP_PORT 环境变量启用 HTTP SSE（Server-Sent Events）模式。,良好,18,"[""编写集成 PubNub 实时通信功能的应用程序"", ""在 Cursor IDE 中使用 MCP 协议访问 PubNub SDK 文档"", ""通过 LLM 工具快速生成 PubNub 初始化代码"", ""实时发布、订阅和管理 PubNub 消息"", ""获取通道历史消息和存在状态信息"", ""自动化管理 PubNub 账户资源（如应用和 API 密钥）""]","[""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""PUBNUB_PUBLISH_KEY"", ""PUBNUB_SUBSCRIBE_KEY""], ""description"": ""用于认证 PubNub SDK 操作，其中 PUBNUB_PUBLISH_KEY 是发布消息所必需的""}","[""编写集成 PubNub 实时通信功能的应用程序"", ""在 Cursor IDE 中使用 MCP 协议访问 PubNub SDK 文档"", ""通过 LLM 工具快速生成 PubNub 初始化代码"", ""实时发布、订阅和管理 PubNub 消息"", ""获取通道历史消息和存在状态信息"", ""自动化管理 PubNub 账户资源（如应用和 API 密钥）""]",69.1,A级-优质冷门推荐
Mindpilot MCP,abrinsmead,https://github.com/abrinsmead/mindpilot-mcp,6,1,83.14,92.5,81,57.18,2,https://lobehub.com/mcp/abrinsmead-mindpilot-mcp,通过代理的视角观察。可视化遗留代码，检查复杂流程，理解一切。需要 Node.js v20.0.0 或更高版本。,优质,6,"[""生成项目架构的 C4 图"", ""可视化 WebSocket 连接逻辑的状态机"", ""展示 OAuth 流程的序列图"", ""审查 AI 生成代码的质量与结构"", ""本地开发调试时实时查看图表""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""api_keys_required"": false, ""dependencies"": [""Node.js v20.0.0 或更高版本""], ""optional"": []}","[""生成项目架构的 C4 图"", ""可视化 WebSocket 连接逻辑的状态机"", ""展示 OAuth 流程的序列图"", ""审查 AI 生成代码的质量与结构"", ""本地开发调试时实时查看图表""]",67.9,A级-优质冷门推荐
Agent Communication MCP Server,mkXultra,https://github.com/mkXultra/agent-communication-mcp,0,1,81.34,92.5,72,57.18,10,https://lobehub.com/mcp/mkxultra-agent-communication-mcp,MCP 服务器，支持多代理之间基于房间的消息传递。需要将外部数据文件存储在由环境变量 AGENT_COMM_DATA_DIR 配置的目录中（默认：./data）。,优质,20,"[""複数AIエージェント間のトピック別コミュニケーション"", ""チームベースの協働タスク管理"", ""コードレビューなどの共同開発作業"", ""リアルタイム通知とアクション処理"", ""長期的な会話履歴の保持と参照"", ""メンション機能を利用した特定エージェントへの指示伝達""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""general"": ""APIキーは不要ですが、環境変数による設定が必要です。主な環境変数：\n- AGENT_COMM_DATA_DIR: データファイルの保存ディレクトリ\n- AGENT_COMM_LOCK_TIMEOUT: ファイルロックのタイムアウト時間（ミリ秒）\n- AGENT_COMM_MAX_MESSAGES: ルームあたりの最大メッセージ数\n- AGENT_COMM_MAX_ROOMS: 最大ルーム数\n- AGENT_COMM_WAIT_TIMEOUT: wait_for_messagesの最大タイムアウト時間（ミリ秒）""}","[""複数AIエージェント間のトピック別コミュニケーション"", ""チームベースの協働タスク管理"", ""コードレビューなどの共同開発作業"", ""リアルタイム通知とアクション処理"", ""長期的な会話履歴の保持と参照"", ""メンション機能を利用した特定エージェントへの指示伝達""]",66.8,A级-优质冷门推荐
Knowledge MCP Server,sven-borkert,https://github.com/sven-borkert/knowledge-mcp,0,0,73.64,80.0,71,57.18,27,https://lobehub.com/mcp/sven-borkert-knowledge-mcp,一个模型上下文协议（MCP）服务器，提供集中式的知识管理功能，适用于您的项目。将知识存储在主目录下的 ~/.knowledge-mcp/projects/ 目录中。需要 Node.js 14+、Python 3.11+ 和 Git 以进行项目识别。,,12,"[""Centralized knowledge management replacing CLAUDE.md files"", ""Persistent project-specific documentation storage"", ""Cross-project knowledge search"", ""Automatic project identification via git/directory"", ""Version-controlled documentation with automatic backups"", ""Structured knowledge capture during development workflows""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required"": false, ""dependencies"": [], ""notes"": ""No API keys required. Git remote configuration is optional for backup/synchronization.""}","[""Centralized knowledge management replacing CLAUDE.md files"", ""Persistent project-specific documentation storage"", ""Cross-project knowledge search"", ""Automatic project identification via git/directory"", ""Version-controlled documentation with automatic backups"", ""Structured knowledge capture during development workflows""]",65.6,A级-优质冷门推荐
npm 包 README MCP 服务器,elchika-inc,https://github.com/elchika-inc/npm-package-readme-mcp-server,0,0,70.94,87.5,35,57.18,3,https://lobehub.com/mcp/elchika-inc-npm-package-readme-mcp-server,一个 MCP 服务器，能够让 AI 助手从 npm 注册表中获取关于 npm 包的详细信息，包括 README 内容、包元数据和搜索功能。,良好,8,"[""Fetching formatted README content with usage examples from Node.js/npm packages"", ""Getting comprehensive package metadata including dependencies, versions, statistics, and maintainer information"", ""Searching npm registry with advanced filtering by package type, popularity, and relevance""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""GITHUB_TOKEN (optional but recommended)""], ""dependencies"": [""GitHub API"", ""npm Registry API""]}","[""Fetching formatted README content with usage examples from Node.js/npm packages"", ""Getting comprehensive package metadata including dependencies, versions, statistics, and maintainer information"", ""Searching npm registry with advanced filtering by package type, popularity, and relevance""]",63.3,B级-高质量冷门
CPAN 包 README MCP 服务器,elchika-inc,https://github.com/elchika-inc/cpan-package-readme-mcp-server,0,0,70.94,87.5,35,57.18,3,https://lobehub.com/mcp/elchika-inc-cpan-package-readme-mcp-server,一个 MCP 服务器，能够让 AI 助手获取关于 CPAN 包的详细信息，包括 README 内容、包元数据和搜索功能。,良好,8,"[""Fetching formatted README content with usage examples from Perl/CPAN modules"", ""Getting comprehensive package metadata including dependencies, versions, author information, and documentation"", ""Searching CPAN repository with filtering by category, author, and relevance""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""No API key required. Relies on public MetaCPAN API with built-in rate limiting handling and retry logic.""","[""Fetching formatted README content with usage examples from Perl/CPAN modules"", ""Getting comprehensive package metadata including dependencies, versions, author information, and documentation"", ""Searching CPAN repository with filtering by category, author, and relevance""]",63.3,B级-高质量冷门
Composer 包 README MCP 服务器,elchika-inc,https://github.com/elchika-inc/composer-package-readme-mcp-server,0,0,70.94,87.5,35,57.18,3,https://lobehub.com/mcp/elchika-inc-composer-package-readme-mcp-server,一个 MCP 服务器，能够让 AI 助手从 Packagist 获取关于 Composer 包的详细信息，包括 README 内容、包元数据和搜索功能。,良好,8,"[""Fetching formatted README content with usage examples from PHP/Composer packages"", ""Getting comprehensive package metadata including dependencies, versions, statistics, and maintainer information"", ""Searching Packagist with advanced filtering by type, popularity, and relevance"", ""Optimizing API usage and improving response times through smart caching"", ""Enhancing README fetching with GitHub integration""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","{""required_keys"": [""GITHUB_TOKEN (optional but recommended)""], ""dependencies"": [""Packagist API"", ""GitHub API""]}","[""Fetching formatted README content with usage examples from PHP/Composer packages"", ""Getting comprehensive package metadata including dependencies, versions, statistics, and maintainer information"", ""Searching Packagist with advanced filtering by type, popularity, and relevance"", ""Optimizing API usage and improving response times through smart caching"", ""Enhancing README fetching with GitHub integration""]",63.3,B级-高质量冷门
测试代码生成器 MCP 服务器,fyuuki0jp,https://github.com/fyuuki0jp/testing-mcp-vitest,1,0,75.34,92.5,42,57.18,1,https://lobehub.com/mcp/fyuuki0jp-testing-mcp-vitest,用于根据 JSON 规范中的边界值分析和等价划分生成 Vitest 测试代码的 MCP 服务器。,优质,10,"[""自动化生成单元测试代码"", ""基于JSON规范进行边界值分析"", ""基于等价类划分生成测试用例"", ""支持多范围验证（如工作时间、分数段、温度范围等）"", ""使用pairwise方法高效生成组合测试用例""]","[""Claude Desktop"", ""Cursor"", ""Cline"", ""SSE"", ""Studio""]","""不需要API密钥。无需外部依赖。""","[""自动化生成单元测试代码"", ""基于JSON规范进行边界值分析"", ""基于等价类划分生成测试用例"", ""支持多范围验证（如工作时间、分数段、温度范围等）"", ""使用pairwise方法高效生成组合测试用例""]",63.2,B级-高质量冷门
Superset MCP 服务器,Winding2020,https://github.com/Winding2020/superset-mcp,2,0,75.14,82.5,71,57.18,28,https://lobehub.com/mcp/winding2020-superset-mcp,一个用于管理 Apache Superset 数据集、指标和 SQL 查询的 Model Context Protocol (MCP) 服务器。需要通过环境变量（如 SUPERSET_BASE_URL、SUPERSET_USERNAME、SUPERSET_PASSWORD 或 SUPERSET_ACCESS_TOKEN）进行外部配置 Superset 连接详细信息。,优质,58,"[""Managing datasets (CRUD operations)"", ""Creating and updating dataset metrics"", ""Managing calculated columns"", ""Modifying chart visualization parameters"", ""Accessing and modifying dashboard configurations"", ""Executing SQL queries through Superset"", ""Listing and managing database connections""]","[""Claude Desktop"", ""Cursor""]","{""credentials"": ""Superset username/password or access token"", ""required_env_vars"": [""SUPERSET_BASE_URL"", ""SUPERSET_USERNAME"", ""SUPERSET_PASSWORD or SUPERSET_ACCESS_TOKEN""]}","[""Managing datasets (CRUD operations)"", ""Creating and updating dataset metrics"", ""Managing calculated columns"", ""Modifying chart visualization parameters"", ""Accessing and modifying dashboard configurations"", ""Executing SQL queries through Superset"", ""Listing and managing database connections""]",63.1,B级-高质量冷门
12306-mcp,Joooook,https://github.com/Joooook/12306-mcp,299,52,84.97,92.5,63,84.33,8,https://lobehub.com/mcp/joooook-12306-mcp,这是一个基于模型上下文协议（MCP）的12306票务搜索服务器。,优质,8,"[""通过大模型进行12306车票查询"", ""根据出发地、目的地和时间筛选列车信息"", ""支持过站查询与中转查询，辅助复杂行程规划""]","[""Claude Desktop"", ""Cline"", ""Studio""]","""本项目不依赖外部API密钥，但需确保可以访问12306官方服务接口。""","[""通过大模型进行12306车票查询"", ""根据出发地、目的地和时间筛选列车信息"", ""支持过站查询与中转查询，辅助复杂行程规划""]",63.0,B级-潜力冷门项目
